Section #,Attack Surface Layer,Key Threats,MITRE ID,Zero-Trust Pillar,Change Log
2.1.1,Firmware,BIOS/UEFI and EFI Attacks: Attackers target low-level firmware on Windows (BIOS/UEFI) and macOS (EFI) endpoints to install bootkit rootkits that persist across OS reinstallation and evade all OS-layer security controls.,T1542.001 – Pre-OS Boot: System Firmware,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,Supply Chain Compromise: Maliciously modified or backdoored firmware introduced during device manufacturing or logistics before deployment to the end user.,T1195.003 – Supply Chain Compromise: Compromise Hardware Supply Chain,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,"Outdated Firmware: Failure to apply firmware updates leaves known vulnerabilities exploitable, particularly relevant for Intel-based Macs and Windows endpoints from multiple OEMs with inconsistent patching cadences.",T1068 – Exploitation for Privilege Escalation; T1542.001 – Pre-OS Boot: System Firmware,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,Secure Boot / Apple Secure Boot Bypass: Disabling or circumventing Secure Boot (Windows) or Apple Secure Boot (macOS T2/Apple Silicon) permits unsigned or malicious bootloaders to execute prior to OS loading.,T1542.001 – Pre-OS Boot: System Firmware; T1542.003 – Pre-OS Boot: Bootkit,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,"TPM / Secure Enclave Tampering: On Windows, attackers attempt to extract TPM-sealed BitLocker keys via firmware TPM vulnerabilities (CVE-2023-1017/1018). On macOS, exploitation of T2 chip vulnerabilities may allow bypass of encrypted storage and activation lock protections.",T1542.001 – Pre-OS Boot: System Firmware; T1600 – Weaken Encryption,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,"Firmware Persistence via UEFI Implants: Sophisticated threat actors (e.g., nation-state) deploy UEFI implants (MosaicRegressor, CosmicStrand-style) that survive disk wipes and OS reinstallation.",T1542.001 – Pre-OS Boot: System Firmware; T1547 – Boot or Logon Autostart Execution,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.1,Firmware,BMC / Remote Management Firmware Compromise: Baseboard Management Controller (BMC) or iDRAC firmware compromise on endpoints with remote management capabilities enables out-of-band persistent access.,T1542.001 – Pre-OS Boot: System Firmware; T1133 – External Remote Services,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,Device Theft Without Pre-Boot Authentication: Stolen laptops without full-disk encryption (BitLocker; FileVault) and a pre-boot PIN or password can be accessed by mounting the drive externally or booting to a live OS. Risk is elevated for employees who disable pre-boot PIN for convenience.,T1052 – Exfiltration Over Physical Medium; T1005 – Data from Local System,Devices; Data,"WS1-A: Pillar normalised ""Device; Data"" → ""Devices; Data"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"BadUSB and Peripheral Injection: Malicious USB devices (USB Rubber Ducky, O.MG Cable, Bash Bunny) emulate trusted HID devices such as keyboards and network adapters to inject keystrokes or exfiltrate data. Effective against both Windows and macOS with no driver installation required and no user prompt generated.",T1200 – Hardware Additions; T1091 – Replication Through Removable Media; T1059 – Command and Scripting Interpreter; T1003 – OS Credential Dumping,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"Thunderbolt and DMA Attacks: Thunderbolt ports on both Windows and macOS allow Direct Memory Access (DMA) at the hardware level, enabling tools such as PCILeech to read and write physical memory and extract credentials or encryption keys from a locked device without OS interaction. Mitigated by Kernel DMA Protection (Windows) and enabling Thunderbolt security levels; verify enforcement via MDM policy.",T1006 – Direct Volume Access; T1003 – OS Credential Dumping,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,Cold Boot Attack: An attacker with brief physical access reboots a running device and recovers remanent DRAM contents including encryption keys or session tokens. Apple Silicon endpoints implement hardware memory encryption rendering this attack practically infeasible. This threat remains active for Intel-based Windows and Mac endpoints without memory overwrite-on-suspend controls.,T1542 – Pre-OS Boot; T1200 – Hardware Additions,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"Evil Maid Attack: An unattended endpoint in a hotel room, conference room, or shared workspace can have its bootloader or firmware replaced, or a hardware keylogger implanted, with no user notification or tamper evidence on standard devices.",T1056.001 – Input Capture: Keylogging; T1056.002 – Input Capture: GUI Input Capture; T1542 – Pre-OS Boot,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"Shoulder Surfing and Visual Eavesdropping: Credentials, financial data, or customer PII visible on-screen in open-plan offices, airports, or client sites. Particularly high risk for employees without privacy screen filters. AI-assisted video analysis tools available as of 2025-2026 make this threat more scalable with commercially available equipment.",T1552 – Unsecured Credentials; T1005 – Data from Local System,Data,
2.1.2,Physical & Peripheral,"Insecure Device Disposal: Decommissioned endpoints not subjected to certified secure erasure (NIST SP 800-88 Rev.1) may retain cached credentials, browser sessions, banking application data, or sensitive files recoverable with commercially available forensic tools.",T1005 – Data from Local System; T1552 – Unsecured Credentials,Data; Devices,"WS1-A: Pillar normalised ""Data; Device"" → ""Data; Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.2,Physical & Peripheral,"PoE-Based Hardware Implants: Power-over-Ethernet inline implants or malicious docking station hardware installed on docked endpoints in open-plan trading floors or unmonitored desk locations, enabling persistent network interception or hardware-level keylogging without requiring access to the endpoint operating system.",T1200 – Hardware Additions; T1040 – Network Sniffing; T1056.001 – Input Capture: Keylogging,Devices; Networks,"WS1-A: Pillar normalised ""Device; Network"" → ""Devices; Networks"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Security Feature Misconfiguration: Disabled or weakened OS protections — including Secure Boot, Credential Guard, Virtualisation-Based Security (VBS), and Hypervisor-Protected Code Integrity (HVCI) on Windows, or System Integrity Protection (SIP) and FileVault on macOS — frequently result from IT helpdesk workarounds, application compatibility exceptions, or unmanaged endpoints. Absence of VBS/HVCI should be treated as a device compliance failure and a Zero-Trust policy signal.",T1562.001 – Impair Defenses: Disable or Modify Tools; T1562.010 – Impair Defenses: Downgrade Attack,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Unpatched Operating System: Endpoints running outdated Windows or macOS versions expose known, publicly documented CVEs. Apple patches the three most recent major macOS releases for critical vulnerabilities; devices running versions older than N-2 receive no security updates and should be treated as non-compliant under device health policy.",T1203 – Exploitation for Client Execution; T1068 – Exploitation for Privilege Escalation,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Kernel and Driver Exploitation: Vulnerabilities in third-party kernel extensions (kexts on macOS) or Windows kernel-mode drivers are exploited to achieve ring-0 privileges, bypassing all userland security controls including EDR agents and application sandboxes.",T1068 – Exploitation for Privilege Escalation; T1014 – Rootkit,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Living-Off-The-Land Abuse on Windows: Legitimate Windows binaries (PowerShell, WMI, certutil, mshta, regsvr32, rundll32, msiexec, bitsadmin) abused to download, decode, and execute malicious code without writing new executables to disk, evading signature-based and hash-based detection. WDAC and AppLocker bypass via MSIX/AppX packaged applications is an active gap on Windows 10/11 endpoints.",T1218 – System Binary Proxy Execution; T1059.001 – Command and Scripting Interpreter: PowerShell; T1047 – Windows Management Instrumentation; T1647 – Deobfuscate/Decode Files or Information,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Living-Off-The-Land Abuse on macOS: Legitimate macOS binaries (osascript, curl, python3, bash, launchctl, installer, xattr, ditto) abused to execute payloads, establish persistence via LaunchAgents and LaunchDaemons, and strip Gatekeeper quarantine attributes from downloaded files.",T1059.004 – Command and Scripting Interpreter: Unix Shell; T1059.002 – Command and Scripting Interpreter: AppleScript; T1218 – System Binary Proxy Execution; T1647 – Plist File Modification,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Gatekeeper and Notarization Bypass on macOS: Attackers abuse disk image mounting, zip slip extraction, or bundle directory structures to deliver payloads that macOS Gatekeeper fails to quarantine. Atomic Stealer (AMOS) and related infostealer families have consistently exploited this vector since 2023.",T1553.001 – Subvert Trust Controls: Gatekeeper Bypass; T1204.002 – User Execution: Malicious File,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"TCC Abuse on macOS: Exploitation or social engineering of macOS Transparency, Consent and Control (TCC) permissions to grant malicious applications Full Disk Access, screen recording, camera, microphone, or contact access. TCC database manipulation via SQLite injection is a documented technique for bypassing user consent prompts without interaction.",T1548 – Abuse Elevation Control Mechanism; T1056.001 – Input Capture: Keylogging,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.3,Operating System & Kernel,"Weak Application Control: Absence of enforced application allowlisting via Windows Defender Application Control (WDAC) or AppLocker on Windows, or AMFI and Notarization enforcement on macOS, permits execution of untrusted or unsigned binaries and interpreted scripts without restriction. Excel 4.0 (XLM) macros remain an active bypass vector on Windows endpoints where macro policy is not fully enforced via Group Policy or Intune.",T1553 – Subvert Trust Controls; T1036 – Masquerading,Devices,"WS1-A: Pillar normalised ""Device"" → ""Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.8,Memory & Runtime / Fileless,"EDR and XDR Agent Tampering: Adversaries actively target endpoint detection and response agents as a first post-compromise action. Techniques include kernel driver blocklist circumvention, safe-mode boot EDR bypass (agents do not load in Windows Safe Mode on most EDR platforms), process injection into EDR processes, and tamper-protection bypass via legitimate local admin credentials. Recorded in financial sector incidents attributed to ransomware groups and nation-state actors.",T1562.001 – Impair Defenses: Disable or Modify Tools; T1055 – Process Injection; T1014 – Rootkit,Devices,"WS2-B: Reclassified S2.1.3 → S2.1.8. EDR tampering is a post-exploitation memory/kernel technique (BYOVD driver loading, PPL bypass, HVCI defeat). Controls MEM-04 (HVCI + driver blocklist) and MEM-01 (EDR kernel telemetry) in Layer 8 are the correct remediation layer. OS & Kernel MD has no corresponding control."
2.1.15,Policy Engine & Management Plane,"Insufficient Audit Logging: Gaps in OS-level audit policy — Windows Security Event Log and Sysmon; macOS Unified Logging and OpenBSM audit — prevent detection of privilege escalation, persistence installation, credential access, and lateral movement originating from the endpoint. Fileless and living-off-the-land techniques are specifically designed to exploit telemetry blind spots in file-write-only detection pipelines.",T1562.002 – Impair Defenses: Disable Windows Event Logging,Devices; Identity,"WS2-C: Reclassified S2.1.3 → S2.1.15. Audit log completeness and tamper-resistance are Management Plane governance controls. PE-05 (PIP data source completeness) and PE-06 (immutable WORM audit logging) in Layer 15 are the correct remediation controls. OS-level logging configuration is a contributing mechanism, not the governance layer."
2.1.4,Network & Connectivity,"Exposed Network Services: Open and listening services on the endpoint (RDP, SSH, SMB, WinRM on Windows; Remote Login SSH, Screen Sharing ARD/VNC, SMB on macOS) discoverable via network scanning and targeted for brute-force, credential spray, or direct exploitation when endpoints are not protected by host-based firewall policy.",T1021 – Remote Services; T1133 – External Remote Services; T1110 – Brute Force,Networks; Devices,"WS1-A: Pillar normalised ""Network; Device"" → ""Networks; Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.13,Wireless & Proximity,"Rogue Wireless Access Points and Evil Twin Attacks: Attackers deploy access points mimicking trusted corporate SSIDs to intercept credentials and session tokens from endpoints that auto-connect to previously seen networks. Particularly relevant for travelling employees in airports, hotels, and client sites.",T1557 – Adversary-in-the-Middle; T1040 – Network Sniffing,Networks,"WS2-A: Reclassified S2.1.4 → S2.1.13. No controls exist for this threat in Layer 4 (Network MD). All controls (WL-01 WPA3-Enterprise, WL-02 MDM Wi-Fi profile, WL-03 WIDS, WL-08 ZTNA primary control) reside in Layer 13."
2.1.4,Network & Connectivity,LLMNR / NBT-NS Poisoning and SMB Relay: Link-Local Multicast Name Resolution and NetBIOS Name Service poisoning on Windows endpoints allows an attacker on the same network segment to capture NTLMv2 challenge-response hashes or relay credentials directly to other hosts. Remains an active and highly effective attack on insufficiently hardened Windows corporate LAN segments.,T1557.001 – Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay,Networks; Identity,"WS1-A: Pillar normalised ""Network; Identity"" → ""Networks; Identity"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.4,Network & Connectivity,"VPN Split Tunnelling Exploitation: Misconfigured VPN split tunnelling routes corporate traffic securely while leaving internet-bound traffic unprotected and uninspected. Attackers exploit this to establish C2 channels, exfiltrate data, or pivot to cloud-hosted resources outside of corporate proxy and DLP visibility.",T1572 – Protocol Tunneling; T1090 – Proxy,Networks,"WS1-A: Pillar normalised ""Network"" → ""Networks"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.4,Network & Connectivity,"QUIC and HTTP/3 Inspection Gap: Corporate proxies and next-generation firewalls largely cannot inspect QUIC protocol traffic. Adversaries and malware families abuse QUIC to establish C2 channels and exfiltrate data outside of TLS inspection pipelines, creating a persistent blind spot in network telemetry.",T1572 – Protocol Tunneling; T1071.001 – Application Layer Protocol: Web Protocols,Networks,"WS1-A: Pillar normalised ""Network"" → ""Networks"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.4,Network & Connectivity,"IPv6 Lateral Movement and Rogue Router Advertisement: Endpoints with IPv6 enabled but without corresponding IPv6-aware network controls are susceptible to rogue Router Advertisement attacks that redirect traffic through an attacker-controlled gateway. Many corporate network monitoring tools remain IPv4-centric, leaving IPv6 traffic uninspected.",T1557 – Adversary-in-the-Middle; T1210 – Exploitation of Remote Services,Networks,"WS1-A: Pillar normalised ""Network"" → ""Networks"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.4,Network & Connectivity,"DNS Hijacking and DNS over HTTPS Bypass: Attackers modify local DNS resolution via host file manipulation, malicious DHCP responses, or malware-configured DoH resolvers to redirect endpoints to attacker-controlled infrastructure and bypass corporate DNS filtering and threat intelligence feeds.",T1071.004 – Application Layer Protocol: DNS; T1565.001 – Data Manipulation: Stored Data Manipulation,Networks,"WS1-A: Pillar normalised ""Network"" → ""Networks"" per CISA ZT Maturity Model v2 controlled vocabulary"
2.1.4,Network & Connectivity,"Cellular Interface Breakout (eSIM and Physical SIM): Endpoints equipped with integrated cellular modems — via eSIM or physical SIM — can bypass all corporate network controls, proxy enforcement, and DLP inspection by routing traffic directly over carrier networks. Both eSIM and physical SIM configurations present equivalent risk and should be subject to equivalent MDM policy enforcement.",T1572 – Protocol Tunneling; T1048 – Exfiltration Over Alternative Protocol,Networks; Devices,"WS3-A: Threat retained S2.1.4. NEW CONTROL REQUIRED: NC-14 (Cellular/eSIM MDM governance) to be authored in Layer 4 MD. Controls: MDM-enforced per-app VPN on cellular, eSIM provisioning via ABM/Intune, ZTNA tunnel mandatory on cellular data."
2.1.5,Software Application,"Malicious Office Macros and Document-Borne Execution: Macro-enabled Office documents delivered via email or web download execute VBA or Excel 4.0 (XLM) macros to download and run malicious payloads. Microsoft disabled VBA macros from internet-sourced files by default from 2022; however, Excel 4.0 XLM macros remain a viable bypass vector on endpoints where macro policy is not comprehensively enforced via Group Policy or Intune configuration profiles.",T1566.001 – Phishing: Spearphishing Attachment; T1059.005 – Command and Scripting Interpreter: Visual Basic; T1204.002 – User Execution: Malicious File,Applications & Workloads; Devices,
2.1.5,Software Application,"Unpatched Third-Party Applications: Widely deployed applications including browsers, PDF readers, collaboration tools, and financial data terminals (e.g., Bloomberg, Reuters Eikon) running outdated versions expose known CVEs exploitable via drive-by download or malicious document rendering. Third-party applications frequently lag behind OS-level patch cycles and may not be covered by centralised patch management tooling.",T1203 – Exploitation for Client Execution; T1068 – Exploitation for Privilege Escalation,Applications & Workloads; Devices,
2.1.5,Software Application,"Browser-Based Attacks and Malicious Extensions: Credential theft, session hijacking, and data exfiltration via malicious or compromised browser extensions, drive-by downloads, and adversarial JavaScript. Browser extensions operate with broad permissions and are not subject to the same application control policies as native executables on most endpoint configurations.",T1185 – Browser Session Hijacking; T1176 – Browser Extensions; T1059.007 – Command and Scripting Interpreter: JavaScript,Applications & Workloads,
2.1.5,Software Application,"Electron Application Vulnerabilities: Widely deployed enterprise applications built on the Electron framework — including Microsoft Teams, Slack, Visual Studio Code, and Bloomberg Terminal — expose a Node.js runtime within the application boundary. Misconfigured nodeIntegration or contextIsolation bypass vulnerabilities allow remote code execution within the application context, potentially escalating to OS-level access.",T1203 – Exploitation for Client Execution; T1059.007 – Command and Scripting Interpreter: JavaScript,Applications & Workloads; Devices,
2.1.5,Software Application,"Software Supply Chain Compromise: Malicious code injected into legitimate software build pipelines or package repositories (npm, PyPI) results in trojanised application installers or libraries deployed to endpoints via standard software distribution channels. Relevant to developer endpoints and financial platforms with scripting dependencies.",T1195.001 – Supply Chain Compromise: Compromise Software Dependencies and Development Tools; T1195.002 – Supply Chain Compromise: Compromise Software Supply Chain,Applications & Workloads; Devices,
2.1.5,Software Application,"Malicious VS Code Extensions: The Visual Studio Code marketplace does not enforce the same security review standards as OS-level application stores. Malicious or compromised extensions with access to the filesystem, terminal, and network can exfiltrate source code, credentials, and secrets from developer and DevOps endpoints within the bank's engineering function.",T1195.001 – Supply Chain Compromise: Compromise Software Dependencies and Development Tools; T1552.001 – Unsecured Credentials: Credentials In Files,Applications & Workloads; Devices,
2.1.5,Software Application,WDAC and AppLocker Bypass via MSIX/AppX Packages: Attackers package malicious payloads as MSIX or AppX application bundles to bypass Windows Defender Application Control and AppLocker policies that do not explicitly account for packaged application trust rules. An active living-off-the-land gap on Windows 10 and Windows 11 endpoints where application control policy has not been updated to address this trust path.,T1553 – Subvert Trust Controls; T1036 – Masquerading,Applications & Workloads; Devices,
2.1.5,Software Application,"Infostealer Malware Targeting Endpoint Credentials: Commodity and MaaS infostealer families including LummaC2, Atomic Stealer (AMOS), Rhadamanthys, and Vidar systematically harvest browser-saved credentials, session cookies, crypto wallets, and application tokens from both Windows and macOS endpoints. Infostealers are delivered via malvertising, trojanised installers, and phishing and frequently evade signature-based detection at point of execution.",T1555 – Credentials from Password Stores; T1539 – Steal Web Session Cookie; T1005 – Data from Local System,Applications & Workloads; Data,
2.1.5,Software Application,"Insecure Application Data Storage: Applications storing sensitive data — credentials, session tokens, API keys, PII — in plaintext within local configuration files, SQLite databases, application logs, or Keychain entries accessible to other processes. Particularly relevant for financial data terminal client applications and internally developed tooling deployed to the corporate laptop estate.",T1552.001 – Unsecured Credentials: Credentials In Files; T1005 – Data from Local System,Applications & Workloads; Data,
2.1.6,Identity & Authentication,"AiTM Phishing Proxies: Real-time phishing proxy toolkits (Evilginx3, Modlishka, Muraena) intercept MFA codes and session cookies mid-authentication, bypassing TOTP and push-based MFA entirely. Phishing-resistant authentication via FIDO2 hardware security keys or Windows Hello for Business is the only control that reliably defeats this attack class.",T1566.002 – Phishing: Spearphishing Link; T1557 – Adversary-in-the-Middle; T1539 – Steal Web Session Cookie,Identity,
2.1.6,Identity & Authentication,"Primary Refresh Token (PRT) Theft: The Primary Refresh Token is a durable SSO credential issued to Entra ID joined and hybrid-joined Windows endpoints, stored and protected by the TPM where available. Theft via LSASS access on endpoints without TPM-bound PRT protection allows an attacker to authenticate to any Entra ID resource, generate new access tokens, and bypass Conditional Access policies without re-authentication.",T1528 – Steal Application Access Token; T1550.004 – Use Alternate Authentication Material: Web Session Cookie,Identity,
2.1.6,Identity & Authentication,"Pass-the-Hash and Pass-the-Ticket: Extracted NTLM hashes or Kerberos tickets used for lateral movement without knowledge of plaintext credentials. Credential Guard on Windows 11 isolates LSA secrets within a VBS enclave, materially reducing but not eliminating this attack surface. Hybrid-joined endpoints may expose both Kerberos and cloud token material simultaneously.",T1550.002 – Use Alternate Authentication Material: Pass the Hash; T1550.003 – Use Alternate Authentication Material: Pass the Ticket,Identity; Devices,"WS1-A: Pillar normalised ""Identity; Device"" → ""Identity; Devices"" per CISA ZT Maturity Model v2 controlled vocabulary"
